PMA_PMN_NUM,rpss,rpss_category,recall_count,total_adverse_events,unique-manufacturers,device_class,root_cause_description,last_scored,device_name
K980407,0.390233217,Medium,36,36,0,2,Device Design,2:35:19 AM,HOPE NEBULIZER
K962879,0.390233217,Medium,36,36,0,2,Device Design,2:35:19 AM,SALTERLABS 8660 SERIES NEBULIZER
K150633,0.38977607,Medium,268,27604,0,2,Nonconforming Material/Component,2:35:19 AM,ULTRA Telescopes
K974883,0.389760744,Medium,74,91686,0,1,Software design,2:35:19 AM,BACTEC MGIT 960 SYSTEM
K032676,0.389755626,Medium,269,26900,0,2,Nonconforming Material/Component,2:35:19 AM,"ENDOPATH BLADELESS TROCAR, ENDOPATH BLUNT TIP TROCAR, ENDOPATH DILATING TIP TROCAR"
K101491,0.389725113,Medium,220,220,0,2,Device Design,2:35:19 AM,UROSKOP OMNIA
K151356,0.389481209,Medium,268,26532,0,2,Nonconforming Material/Component,2:35:19 AM,Spacemaker Pro Access and Dissector System
K954932,0.389333921,Medium,74,518,0,1,Software design,2:35:19 AM,BBL MGIT PRODUCTS
K141810,0.389312364,Medium,74,1776,0,1,Software design,2:35:19 AM,BD BACTEC PLUS ANAEROBIC/F (PLASTIC)
K113558,0.389306106,Medium,74,7696,0,1,Software design,2:35:19 AM,BD BACTEC Plus Aerobic/F Culture Vials (plastic)
K123903,0.389297902,Medium,74,7844,0,1,Software design,2:35:19 AM,BACTEC Lytic/10 Anaerobic/F Culture Vials (plastic)
K151866,0.389288015,Medium,74,2812,0,1,Software design,2:35:19 AM,BD BACTEC Peds Plus/F Culture Vials (plastic)
K121446,0.389169348,Medium,74,2368,0,1,Software design,2:35:19 AM,BACT/ALERT PF PLUS CULTURE BOTTLE
K121461,0.389157411,Medium,74,148,0,1,Software design,2:35:19 AM,BACT/ALERT FA PLUS CULTURE BOTTLE
K141952,0.389001575,Medium,222,80808,0,2,Nonconforming Material/Component,2:35:19 AM,"ECHELON FLEX POWERED VASCULAR STAPLER WITH ADVANCED PLACEMENT TIP, ENDOPATH ECHELON VASCULAR WHITE RELOADS FOR ADVANCED"
K171347,0.388755396,Medium,111,444,0,2,Process design,2:35:19 AM,"Bi-Funnel and Tri-Funnel Gastrostomy Feeding Tubes with ENFit Connection, Entuit Gastrostomy BR Balloon Retention Feeding Tube with ENFit Connection"
K153688,0.388283443,Medium,111,555,0,2,Process design,2:35:19 AM,Edi Catheter ENFit
K213491,0.388115188,Medium,101,202,0,2,Device Design,2:35:19 AM,Universal Pilot Guidance Instrument System
K142989,0.387952162,Medium,111,222,0,2,Process design,2:35:19 AM,Mini ONE Enteral Extension Set
K022115,0.387850477,Medium,106,212,0,2,Package design/selection,2:35:19 AM,CAPIOX RX05 HOLLOW FIBER OXYGENATOR W/WITHOUT HARDSHELL RESERVOIR
K150679,0.38774081,Medium,111,1554,0,2,Process design,2:35:19 AM,"EndoVive Initial Placement Standard PEG Kit with ENFit Connector, EndoVive Initial Placement Safety PEG Kit with ENFit Connector"
K181395,0.387690174,Medium,268,22244,0,2,Nonconforming Material/Component,2:35:19 AM,Universal Cannula Seal (5-12 mm)
K233662,0.387320143,Medium,164,328,0,2,Device Design,2:35:19 AM,Radiography 7300 C
K182160,0.387278625,Medium,268,21440,0,2,Nonconforming Material/Component,2:35:19 AM,"1688 Camera Control Unit ; 1688 AIM 4K Camera Head, C-Mount ; 1688 AIM 4K Camera Head with Integrated Coupler ; AIM 4K Coupler, 20mm, C-Mount ; L11 LED Light Source with AIM"
K190923,0.387264268,Medium,111,1332,0,2,Process design,2:35:19 AM,Salem Sump Dual Lumen Stomach Tube with ENFit Connection
K143018,0.38726233,Medium,111,111,0,2,Process design,2:35:19 AM,Kangaroo Enteral Feeding Tube Extension Set with ENFit Small Bore Connectors
K161003,0.38726233,Medium,111,111,0,2,Process design,2:35:19 AM,"EndoVive One Step Button Low Profile Initial Placement PEG Kit with ENFit Connector, EndoVive Low Profile Button Replacement Gastrostomy Tube Kit with ENFit Connector, EndoVive Button Right Angle Feeding Set with ENFit Connector, EndoVive Button Bolus Feeding Set with ENFit Connector, EndoVive Button Decompression Tube with ENFit Connector"
K142539,0.38726233,Medium,111,111,0,2,Process design,2:35:19 AM,"EnteraLite Infinity Enteral Pump Delivery Set, 1200 mL Enteral Feeding Delivery Set"
P040044,0.386224364,Medium,12,896760,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
P200031,0.386039038,Medium,1,18,0,3,Device Design,2:35:19 AM,Normothermic Machine Perfusion System For The Preservation Of Donor Livers Prior To Transplantation
K993120,0.386019612,Medium,25,475,0,2,Device Design,2:35:19 AM,MODIFIED BLOOD RECIPIENT SET
K050115,0.385534673,Medium,24,384,0,2,Device Design,2:35:19 AM,BLOOD HAND PUMP ADMINISTRATION SET
K130435,0.38552848,Medium,268,17152,0,2,Nonconforming Material/Component,2:35:19 AM,VERSAPORT V2 BLADELESS OPTICAL TROCAR
P020045,0.385386105,Medium,21,42840,0,3,Component design/selection,2:35:19 AM,Cardiac Ablation Percutaneous Catheter
K060051,0.385258466,Medium,268,16884,0,2,Nonconforming Material/Component,2:35:19 AM,SPECIMEN RETRIEVAL SYSTEM
K051002,0.385103873,Medium,222,71484,0,2,Nonconforming Material/Component,2:35:19 AM,ENDOPATH ENDOCUTTER 60 ENDOSCOPIC LINEAR CUTTER
P930038,0.385036943,Medium,12,697356,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
P180046,0.384857232,Medium,9,404505,0,3,Device Design,2:35:19 AM,"Stimulator, Electrical, Implantable, For Incontinence"
K212511,0.384850414,Medium,268,2144,0,2,Nonconforming Material/Component,2:35:19 AM,"1688 4K Camera Control Unit with Advanced Imaging Modality (1688010000), AIM 4K Autoclave Camera Head, C-Mount (1688410105), AIM 4K Autoclave Coupler, C-Mount (1688410110)"
P200035,0.384786007,Medium,1,2852,0,3,Device Design,2:35:19 AM,Normothermic Machine Perfusion System For The Preservation Of Donor Livers Prior To Transplantation
K041100,0.384478996,Medium,99,198,0,2,Device Design,2:35:19 AM,"NEXGEN POROUS, HA/TCP, UNCEMENTED FEMORAL AND TIBIAL BASEPLATE COMPONENTS"
K123723,0.38441612,Medium,24,5064,0,2,Package design/selection,2:35:19 AM,SYNTHES MATRIXNEURO CRANIAL PLATING SYSTEM
K233228,0.384152025,Medium,101,707,0,2,Device Design,2:35:19 AM,Spine Navigation and Robotic-Assistance Device
P920047,0.384103055,Medium,21,10920,0,3,Component design/selection,2:35:19 AM,EPT-1000 CARDIAC ABLATION SYSTEM
K163454,0.383678626,Medium,222,67710,0,2,Nonconforming Material/Component,2:35:19 AM,"ECHELON FLEX 45mm Powered Plus Articulating Endoscopic Linear Cutters, ECHELON ENDOPATH Endoscopic Linear Cutter Reloads, 45mm"
K172940,0.383371479,Medium,268,11256,0,2,Nonconforming Material/Component,2:35:19 AM,ANCHOR Tissue Retrieval System
P100013,0.383295048,Medium,12,370800,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
K041133,0.383287589,Medium,20,300,0,2,Device Design,2:35:19 AM,MODIFICATION TO BAYER ADVIA CENTAUR AUTOMATED CHEMILUMINESCENCE ANALYZER
K102966,0.383282116,Medium,307,614,0,2,Under Investigation by firm,2:35:19 AM,"2.6F X 20CM VASCU-PICC, 2.6F X 50CM VASCU-PICC"
K151548,0.383271634,Medium,268,11524,0,2,Nonconforming Material/Component,2:35:19 AM,"VersaOne Bladed Trocar, VersaOne Bladeless Trocar"
K242864,0.383234236,Medium,101,202,0,2,Device Design,2:35:19 AM,ROSA® Knee System
K200047,0.383192552,Medium,104,104,0,2,Device Design,2:35:19 AM,ExcelsiusGPS Cranial 1.0 Module
K020779,0.382860951,Medium,230,56350,0,2,Nonconforming Material/Component,2:35:19 AM,PROXIMATE AND ENDOPATH LINEAR CUTTERS AND STAPLERS
K112507,0.382800033,Medium,101,303,0,2,Device Design,2:35:19 AM,"RESTORIS PARTIAL KNEE APPLICATION (PKA), RIO STANDARD SYSTEM"
K142530,0.382668514,Medium,101,505,0,2,Device Design,2:35:19 AM,Partial Knee Application (PKA)
K110240,0.382547422,Medium,101,202,0,2,Device Design,2:35:19 AM,"SMITH & NEPHEW, INC. SURESHOT DISTAL TARGETING SYSTEM V2.1"
K011501,0.382541694,Medium,268,9648,0,2,Nonconforming Material/Component,2:35:19 AM,ENDOPOUCH RETRIEVER
K230605,0.382523348,Medium,268,9112,0,2,Nonconforming Material/Component,2:35:19 AM,1788 4K Camera System with Advanced Imaging Modality
K122011,0.382458622,Medium,101,202,0,2,Device Design,2:35:19 AM,NAVIGATION SOFTWARE HIP-UNIVERSAL; NAVIGATION SOFTWARE HIP THR-AESCULAP
K963127,0.382452773,Medium,20,20,0,2,Device Design,2:35:19 AM,ELECSYS FT3
K974634,0.382452773,Medium,20,20,0,2,Device Design,2:35:19 AM,IMMULITE FREE T3
K962508,0.382452773,Medium,20,20,0,2,Device Design,2:35:19 AM,ELECSYS T3
K243285,0.382303863,Medium,101,606,0,2,Device Design,2:35:19 AM,TMINI Miniature Robotic System
K141989,0.382275128,Medium,101,303,0,2,Device Design,2:35:19 AM,"MAKOPLASTY TOTAL HIP ALLPICATION, RIO STANDARD SYSTEM"
K240662,0.382268674,Medium,101,505,0,2,Device Design,2:35:19 AM,Spine Guidance Software (version 5.0); Xia 3/ Serrato Q Instruments; Everest Q Instruments; Mesa 2 Q Instruments; Q Pedicle Preparation Instruments; Q S2AI Drills; Q Handles; Consolidated Operating Room Equipment (CORE) 2 Console; Electric System 6 Dual Trigger Rotary Handpiece
K140927,0.382230412,Medium,101,606,0,2,Device Design,2:35:19 AM,UNIVERSAL NAVIGATION INSTRUMENTS
K091515,0.38222072,Medium,268,536,0,2,Nonconforming Material/Component,2:35:19 AM,SPY SCOPE INTRA-OPERATIVE OPERATING SYSTEM
K211221,0.382214538,Medium,99,495,0,2,Device Design,2:35:19 AM,Porous Patella and Porous Tibia Baseplate
K160295,0.382148737,Medium,16,48,0,2,Process design,2:35:19 AM,"SPROTTE NRFit, Quincke NRFit"
K200791,0.382108205,Medium,101,4040,0,2,Device Design,2:35:19 AM,Navigation Enabled Intruments
K220593,0.382066767,Medium,101,808,0,2,Device Design,2:35:19 AM,"Spine Guidance Software, Stryker Q Guidance System"
K182964,0.382066446,Medium,101,606,0,2,Device Design,2:35:19 AM,ROSA Knee System
K191943,0.382031684,Medium,101,3434,0,2,Device Design,2:35:19 AM,"SYMPHONY Navigation Ready Instruments, Universal Navigation Adaptor Set"
K232413,0.382023715,Medium,101,505,0,2,Device Design,2:35:19 AM,Fusion Robotic Navigation System
K221004,0.381989134,Medium,268,6968,0,2,Nonconforming Material/Component,2:35:19 AM,HOPKINS Telescopes
K083638,0.381954341,Medium,268,7772,0,2,Nonconforming Material/Component,2:35:19 AM,FIXATION TROCARS
K163581,0.381939038,Medium,101,404,0,2,Device Design,2:35:19 AM,"Navigated ELEVATE Inserter, Navigated Disc Prep Instruments"
K241893,0.381925673,Medium,101,808,0,2,Device Design,2:35:19 AM,CROSSNAV Navigation Enabled Instruments and UNAS Navigation Arrays
K221618,0.381901759,Medium,101,3232,0,2,Device Design,2:35:19 AM,"Spine & Trauma Navigation, Spine Navigation, Navigation Software Spine & Trauma, Alignment System Spine, Alignment Software Spine, Cirq Arm System"
K170593,0.381899784,Medium,101,25250,0,2,Device Design,2:35:19 AM,Mako Total Hip Application
K241171,0.381897593,Medium,101,606,0,2,Device Design,2:35:19 AM,Spine Guidance Software (Version 5.1); Consolidated Operating Room Equipment (CORE) 2 Console; CORE Q Footswitch; PI Drive 2 Motors; Elite Q Attachments and Cutting Accessories
P150006,0.381895524,Medium,12,336,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
K172219,0.381889553,Medium,101,4141,0,2,Device Design,2:35:19 AM,Mako Total Knee Application
K191039,0.381879556,Medium,101,202,0,2,Device Design,2:35:19 AM,Navigated T2 STRATOSPHERE Inserters and Navigated Templates
K190298,0.381869937,Medium,16,48,0,2,Device Design,2:35:19 AM,"DxA 5000, DxI 800 Access Immunoassay System, Access Ferritin, Access Folate, Access TSH (3rd IS), Access Vitamin B12"
K153603,0.381864629,Medium,101,2020,0,2,Device Design,2:35:19 AM,Alphatec Navigation Instruments
K100959,0.381863414,Medium,268,7504,0,2,Nonconforming Material/Component,2:35:19 AM,SPECIMEN RETRIEVAL SYSTEM
K200892,0.381858998,Medium,101,606,0,2,Device Design,2:35:19 AM,Harvey(R) Surgical Assistant
K163379,0.381777949,Medium,101,505,0,2,Device Design,2:35:19 AM,KneeAlign 2 System
K151649,0.381740999,Medium,623,82236,0,2,Under Investigation by firm,2:35:19 AM,Valleylab FT10 Electrosurgical Platform
K220905,0.381725378,Medium,101,2020,0,2,Device Design,2:35:19 AM,xvision Spine System
K202769,0.381673353,Medium,101,36158,0,2,Device Design,2:35:19 AM,VELYS™ Robotic-Assisted Solution
K193120,0.38165019,Medium,101,10807,0,2,Device Design,2:35:19 AM,Real Intelligence Cori
K122511,0.381642258,Medium,268,1072,0,2,Nonconforming Material/Component,2:35:19 AM,ENDOPATH XCEL BLADELESS TROCAR WITH OPTIVIEW TECHNOLOGY ENDOPATH XCEL BLUNT TIP TROCAR WITH OPTIVIEW TECHNOLOGY ENDOPATH
K210121,0.381627794,Medium,101,2424,0,2,Device Design,2:35:19 AM,ROSA Partial Knee System
K041795,0.381620843,Medium,268,7236,0,2,Nonconforming Material/Component,2:35:19 AM,MODIFICATION TO OPTICAL SEPARATOR SYSTEM
K230064,0.38160071,Medium,101,4646,0,2,Device Design,2:35:19 AM,Mazor X System (Mazor X Stealth Edition)
K124004,0.381580086,Medium,101,17675,0,2,Device Design,2:35:19 AM,"NAVIGATED CD HORIZON SOLERA SCREWDRIVERS, TAPS, ILIAC TAPS, LEGACY TAPS"
P120016,0.381577694,Medium,12,7752,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
K171267,0.381577536,Medium,101,2929,0,2,Device Design,2:35:19 AM,NavLock Trackers
K162375,0.381572151,Medium,101,1818,0,2,Device Design,2:35:19 AM,Envision 3D: Image Guidance System
K131425,0.381570299,Medium,101,5252,0,2,Device Design,2:35:19 AM,"NAVIGATED CAPSTONE TRIALS, CLYDESDALE TRIALS, CAPSTONE & CLYDESDALE INSERTER"
K140454,0.381567762,Medium,101,2828,0,2,Device Design,2:35:19 AM,NAVIGATED CD HORIZON SOLERA SCREWDRIVER/TAPS
P180025,0.381561126,Medium,12,12324,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
K171651,0.381560162,Medium,101,35956,0,2,Device Design,2:35:19 AM,EXCELSIUS GPS
K121624,0.381550216,Medium,24,24,0,2,Package design/selection,2:35:19 AM,BIOMET MICROFIXATION NEURO PLATING SYSTEM
K182077,0.381548342,Medium,101,14746,0,2,Device Design,2:35:19 AM,Mazor X System (Mazor X Stealth Edition)
K182121,0.381546367,Medium,101,1616,0,2,Device Design,2:35:19 AM,CD HORIZON Spinal System Instruments for use with MAZOR X Stealth Edition
K183644,0.381545674,Medium,101,1919,0,2,Device Design,2:35:19 AM,Stealth-Midas MR8 System
K173338,0.3815445,Medium,101,1010,0,2,Device Design,2:35:19 AM,Navigated INFINITY™ Instruments
K203005,0.381536913,Medium,101,12625,0,2,Device Design,2:35:19 AM,Mazor X
K111520,0.381534077,Medium,22,1694,0,2,Process design,2:35:19 AM,IPC POWEREASE SYSTEM
K201022,0.381521948,Medium,101,6464,0,2,Device Design,2:35:19 AM,REAL INTELLIGENCE CORI (CORI)
K152041,0.381517058,Medium,101,1212,0,2,Device Design,2:35:19 AM,Renaissance X System
K152574,0.381510456,Medium,101,404,0,2,Device Design,2:35:19 AM,Navio
K981941,0.381473746,Medium,268,6164,0,2,Nonconforming Material/Component,2:35:19 AM,MULTAPORT CANNULA REDUCER AND ACCESSORIES
K170937,0.381462384,Medium,101,505,0,2,Device Design,2:35:19 AM,VIPER PRIME navigated inserter
K232140,0.381448521,Medium,101,202,0,2,Device Design,2:35:19 AM,OTS Hip
K172462,0.381448521,Medium,101,202,0,2,Device Design,2:35:19 AM,OrthAlign Plus System
K191722,0.381448521,Medium,101,202,0,2,Device Design,2:35:19 AM,Vital Navigation System
K143752,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Total Knee Application (TKA)
K191998,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"Mako Total Hip Application, Mako Total Knee Application"
K170011,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,StealthStation S8 Spine Software v1.0.0
K160713,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Stealth-Midas System
K202552,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Midas Rex Attachments and Dissecting Tools
K173372,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,ExactechGPS Total Shoulder Application
K213751,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,NextAR™ TKA Platform My Knee PPS
K233542,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Ortho Guidance Precision Knee Software; Ortho Guidance Express Knee Software; Ortho Guidance Versatile Hip Software; Q Guidance System
K083483,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"BRAINLAB HIP UNLIMITED, CI HIP UNLIMITED"
K193128,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Mako Total Hip Application
K162567,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"ExactechGPS Total Shoulder Application, Equinoxe Planning Software"
K183605,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Spine & Trauma Navigation
K213546,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"ExactechGPS Total Shoulder Application, Equinoxe Planning Software"
K211616,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,ExcelsiusHub
K241517,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Q Guidance System; Mako Spine System;
K170584,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Mako Partial Knee Application
K230243,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,ROSA® Knee System
K172623,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,NuVasive Navigation Instruments
K170891,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Mako Partial Knee Application
K233595,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Genesys Spine Sacroiliac Joint Fusion System with Navigation
K172034,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"Stryker Spine Navigation System with SpineMap 3D software application, OrthoLock, nGenius Spine Clamp, Navigated Drill Guide Set, Navigated Xia 3 Awl Tap, Navigated Xia 3 Serrato Tap"
K201661,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Symphony Navigation Ready Instruments and Universal Navigation Adaptor Set
K170280,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Smith & Nephew SURESHOT Distal Targeting System V4.0
K222510,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,Blueprint Mixed Reality system
K092497,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,"SMITH & NEPHEW PIGALILEO SCREW TARGETING SYSTEM, VERSION 1.1"
K162962,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,OrthAlign Plus System
K110204,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,BRAINLAB TRAUMA
K100107,0.381448361,Medium,101,101,0,2,Device Design,2:35:19 AM,SMITH & NEPHEW SURESHOT DISTAL TARGETING SYSTEM V2.0
P050007,0.381428959,Medium,12,54708,0,3,Process design,2:35:19 AM,"Device, Hemostasis, Vascular"
K210978,0.381336417,Medium,16,368,0,2,Process design,2:35:19 AM,"BD Quincke Spinal Needle, BD Whitacre Spinal Needle, BD Spinal Introducer Needle"
K060096,0.381157531,Medium,268,6164,0,2,Nonconforming Material/Component,2:35:19 AM,MODULAR TROCAR SYSTEM
K221217,0.381149291,Medium,268,536,0,2,Nonconforming Material/Component,2:35:19 AM,SPY Laparoscope
K140496,0.381111387,Medium,13,26,0,2,Device Design,2:35:19 AM,"Access Vitamin B12 Assay, Access Ferritin Assay, Access Folate Assay, Access HYPERsensitive hTSH Assay, Power Express Sample Processing System Generic Connection Module and Access Immunoassay System Reagents"
K014250,0.38102652,Medium,268,5360,0,2,Nonconforming Material/Component,2:35:19 AM,"7MM EXTENDED LENGTH ENDOSCOPE,DISSECTION TIPS, MODELS VH-1111, VH-1114"
DEN220014,0.381008748,Medium,2,6,0,2,Software design,2:35:19 AM,RefleXion Medical Radiotherapy System (RMRS)
K172410,0.38099394,Medium,17,17,0,2,Process design,2:35:19 AM,"Portex NRFit Epidural Needles, Portex NRFit Spinal Needles, Portex NRFit Loss of Resistance (L.O.R.) Syringes., Portex EpiFuse Catheter Connector, Portex Regional Anaesthesia Portfolio Filters"
P960016,0.380986647,Medium,21,11088,0,3,Component design/selection,2:35:19 AM,Cardiac Ablation Percutaneous Catheter
K223289,0.380973487,Medium,12,36,0,2,Device Design,2:35:19 AM,Access Vitamin B12
K222079,0.380930553,Medium,268,5628,0,2,Nonconforming Material/Component,2:35:19 AM,"Connected OR Hub with Device and Voice Control, SDC4K Information Management System with Device and Voice Control"
K241953,0.380709227,Medium,16,96,0,2,Process design,2:35:19 AM,SPROTTE® STANDARD (LUER/ NRFit®) Anesthesiology
K162719,0.380691005,Medium,292,584,0,2,Process control,2:35:19 AM,iTotal® Hip Replacement System
K202194,0.380669472,Medium,99,198,0,2,Device Design,2:35:19 AM,"ATTUNE® Porous Fixed Bearing Tibial Base, Medialized Dome Patella, and Medialized Anatomic Patella with AFFIXIUM™ 3DP Technology"
K103510,0.380650195,Medium,268,1072,0,2,Nonconforming Material/Component,2:35:19 AM,UNIMAX SPECIMEN RETRIEVAL SYSTEM
K121314,0.380625705,Medium,12,36,0,2,Device Design,2:35:19 AM,ARCHITECT B12
K062779,0.380614382,Medium,270,1620,0,2,Nonconforming Material/Component,2:35:19 AM,DEFOGGING HEATED ENDOSCOPE LENS PROTECTOR (DHELP); DEFOGGING ENDOSCOPE LENS PROTECTOR (DELP)
K153606,0.380602042,Medium,268,4288,0,2,Nonconforming Material/Component,2:35:19 AM,"LENS Camera Control Unit-WiFi, LENS Camera Unit-Non-WiFi, LENS camera head, Camera Coupler, Tablet Application"
K030618,0.380509393,Medium,16,48,0,2,Process design,2:35:19 AM,WILSON-COOK CELIAC PLEXUS NEUROLYSIS NEEDLE
K250774,0.380508527,Medium,16,32,0,2,Process design,2:35:19 AM,SPROTTE® STANDARD (LUER/ NRFit®) Lumbar Puncture
K171518,0.380507662,Medium,16,16,0,2,Process design,2:35:19 AM,"Epidural Anesthesia Needles, Spinal Anesthesia Needles, Combined Anesthesia Needles"
K243682,0.380507662,Medium,16,16,0,2,Process design,2:35:19 AM,SonoPlex STIM; SonoPlex II
K100241,0.380507662,Medium,16,16,0,2,Process design,2:35:19 AM,"CONTIPLEX D CONTINUOUS NERVE BLOCK SET, MODEL 331687, 331686, 331685, 331680"
K223923,0.380500146,Medium,268,2680,0,2,Nonconforming Material/Component,2:35:19 AM,HOPKINS Telescopes
K112349,0.380478059,Medium,268,3752,0,2,Nonconforming Material/Component,2:35:19 AM,VERSAPORT V2 BLADELESS OPTIICAL TROCAR AND/OR VERSAPORT BLADELESS OPTICAL TROCAR
K961492,0.380435973,Medium,268,2680,0,2,Nonconforming Material/Component,2:35:19 AM,HYDRO-SURG LAPAROSCOPIC IRRIGATON MODELS 0026000. 0026010
P150044,0.380417726,Medium,13,26,0,3,Device Design,2:35:19 AM,Somatic Gene Mutation Detection System
K232880,0.380392083,Medium,268,1876,0,2,Nonconforming Material/Component,2:35:19 AM,Inzii Ripstop Redeployable Retrieval System
K133845,0.380380013,Medium,270,810,0,2,Nonconforming Material/Component,2:35:19 AM,8MM TROCAR KIT
K012527,0.380369789,Medium,268,804,0,2,Nonconforming Material/Component,2:35:19 AM,KSEA SIALOENDOSCOPES AND ACCESSORIES
K162584,0.380358382,Medium,268,2948,0,2,Nonconforming Material/Component,2:35:19 AM,VersaOne Bladeless Trocar
K142547,0.380311299,Medium,268,3484,0,2,Nonconforming Material/Component,2:35:19 AM,Bluntport Blunt Trocar with Threaded Anchor 5mm-12mm
K072674,0.380238177,Medium,269,1076,0,2,Nonconforming Material/Component,2:35:19 AM,KII TROCAR SYSTEM
K191832,0.380163951,Medium,156,312,0,2,Device Design,2:35:19 AM,"Kurin Blood Culture Collection Set with Kurin Lock Technology, Push-Button Needle (Product models M-21221, M-21223, D-21221, D-21223, T-21221, T-21223)"
K191177,0.380152401,Medium,268,2948,0,2,Nonconforming Material/Component,2:35:19 AM,"LENS 4K Camera Control Unit - Wifi, LENS 4K Camera Control Unit - Non-Wifi, LENS 4K Camera Head"
K083260,0.38015115,Medium,12,36,0,2,Device Design,2:35:19 AM,"ELECSYS MYOGLOBIN STAT, AND ELECSYS MYOGLOBIN"
K132785,0.380137747,Medium,268,2412,0,2,Nonconforming Material/Component,2:35:19 AM,STRYKER 1488 HD VIDEO CAMERA WITH INFRARED COMPATIBILITY
K063731,0.380113917,Medium,99,198,0,2,Device Design,2:35:19 AM,ADVANCE STATURE FEMORAL COMPONENT
K133345,0.380098567,Medium,268,536,0,2,Nonconforming Material/Component,2:35:19 AM,REVEEL ENDOSCOPIC RETRACTOR
K955490,0.380052434,Medium,268,2144,0,2,Nonconforming Material/Component,2:35:19 AM,LAPAROSCOPIC KNITTER
K060629,0.380050969,Medium,268,3216,0,2,Nonconforming Material/Component,2:35:19 AM,GELPORT BLUNT TIP TROCAR SYSTEM
K012539,0.380047614,Medium,268,2412,0,2,Nonconforming Material/Component,2:35:19 AM,VERASTEP
K991928,0.380038937,Medium,268,804,0,2,Nonconforming Material/Component,2:35:19 AM,"MODULAR LAPAROSCOPIC GRASPING FORCEPS, SCISSORS, NEEDLE HOLDERS & DISSECTORS"
P990025,0.380010125,Medium,21,8547,0,3,Component design/selection,2:35:19 AM,"Catheter, Electrode Recording, Or Probe, Electrode Recording"
K062654,0.380003039,Medium,99,396,0,2,Device Design,2:35:19 AM,DEPUY SIGMA CRUCIATE RETAINING POROCOAT FEMORAL COMPONENTS
K123486,0.379965152,Medium,101,303,0,2,Device Design,2:35:19 AM,TRIATHLON TRITANIUM TIBIAL BASEPLATE
K191866,0.379912657,Medium,268,2412,0,2,Nonconforming Material/Component,2:35:19 AM,GelPOINT Mini Advanced Access Platform
K112456,0.379899291,Medium,268,536,0,2,Nonconforming Material/Component,2:35:19 AM,ADAPT(TM) UNIVERSAL BALLOON OPEN ACCESS PORT
K160230,0.379833671,Medium,268,2680,0,2,Nonconforming Material/Component,2:35:19 AM,"VersaOne Optical Trocar 15mm, VersaOne Bladeless Trocar 15mm"
K151786,0.37982236,Medium,12,48,0,2,Device Design,2:35:19 AM,"Elecsys Vitamin B12 II assay, Elecsys Vitamin B12 II CalSet"
K972578,0.379760402,Medium,268,536,0,2,Nonconforming Material/Component,2:35:19 AM,ENDOPATH OPTIVIEW OPTICAL SURGICAL OBTURATOR AND SLEEVE
K961430,0.379759974,Medium,268,2144,0,2,Nonconforming Material/Component,2:35:19 AM,"INNERDYNE STEP TROCAR EXPANDABLE PORT, MINISTEP"
K993571,0.379748757,Medium,12,192,0,2,Device Design,2:35:19 AM,"BAYER DIAGNOSTICS ACS:180 VB12, BAYER DIAGNOSTICS ADVIA CENTAUE VB12"
K152663,0.379742819,Medium,268,1876,0,2,Nonconforming Material/Component,2:35:19 AM,Bladeless Optical Obturators
